Elo Rank	Player	Age	Elo		hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo		Peak Elo	Peak Month		WTA Rank	Log diff
1	Aryna Sabalenka	27.4	2206.5		1	2157.6	1	2122.5	1	1979.9		2218.8	2025-11		1	0
2	Iga Swiatek	24.4	2138.3		3	2081.3	2	2068.4	2	1964.9		2291.0	2024-07		2	0
3	Elena Rybakina	26.3	2134.2		2	2095.0	4	1992.0	3	1901.0		2155.6	2024-04		5	-0.51
4	Coco Gauff	21.6	2104.7		4	2049.5	3	2059.9	5	1858.1		2155.7	2024-01		4	0
5	Amanda Anisimova	24.1	2078.8		5	2030.4	10	1876.6	4	1900.1		2086.9	2025-11		3	0.51
6	Jessica Pegula	31.6	2031.3		6	1993.0	9	1878.0	6	1845.7		2094.9	2024-01		6	0
7	Jasmine Paolini	29.8	2022.8		7	1964.9	5	1948.5	8	1820.8		2058.1	2025-10		8	-0.13
8	Elina Svitolina	31.0	1969.5		15	1895.6	6	1915.7	10	1786.0		2120.6	2018-05		13	-0.49
9	Belinda Bencic	28.6	1962.1		10	1919.4	28	1778.1	12	1777.5		2100.0	2015-09		11	-0.20
10	Victoria Mboko	19.1	1960.9		11	1918.9	18	1807.1	40	1694.3		1969.6	2025-07		18	-0.59
11	Madison Keys	30.7	1953.8		12	1902.6	8	1879.9	13	1775.1		2090.1	2016-08		7	0.45
12	Karolina Muchova	29.1	1948.8		8	1920.9	24	1797.7	26	1721.0		2029.1	2023-08		20	-0.51
13	Ekaterina Alexandrova	30.9	1945.7		16	1886.8	12	1833.4	9	1809.6		1977.2	2020-02		10	0.26
14	Marketa Vondrousova	26.3	1944.3		20	1861.6	20	1806.7	7	1824.7		2062.5	2023-08		34	-0.89
15	Mirra Andreeva	18.4	1943.4		9	1920.6	7	1898.9	18	1750.1		2159.2	2025-03		9	0.51
16	Naomi Osaka	27.9	1940.2		13	1899.0	17	1807.4	25	1725.0		2193.3	2021-03		16	0
17	Linda Noskova	20.9	1938.9		14	1897.7	40	1757.1	14	1771.6		1959.9	2025-10		12	0.35
18	Tereza Valentova	18.6	1915.8		18	1880.4	14	1822.0	49	1676.7		1939.5	2025-10		60	-1.20
19	Leylah Fernandez	23.1	1911.2		17	1885.4	55	1728.5	24	1727.3		1977.3	2022-03		22	-0.15
20	Marta Kostyuk	23.2	1908.0		19	1876.6	13	1822.4	58	1663.0		1986.1	2024-04		26	-0.26
21	Qinwen Zheng	22.9	1904.6		22	1855.5	11	1865.5	59	1660.2		2098.3	2024-11		24	-0.13
22	Janice Tjen	23.4	1897.7		21	1861.1	72	1698.8	39	1698.8		1897.7	2025-10		54	-0.90
23	Anna Kalinskaya	26.9	1893.6		23	1850.1	42	1754.1	23	1727.8		1948.6	2024-04		33	-0.36
24	Elise Mertens	29.9	1887.6		31	1825.4	15	1817.3	17	1752.3		2042.7	2021-04		19	0.23
25	Emma Raducanu	22.9	1880.8		32	1823.5	27	1784.3	22	1731.3		1998.0	2021-08		29	-0.15
26	Clara Tauson	22.8	1875.7		30	1827.9	35	1766.4	37	1704.9		1949.0	2025-07		14	0.62
27	Victoria Azarenka	36.0	1875.3		24	1839.1	32	1769.2	29	1719.9		2312.3	2013-03		144	-1.67
28	Barbora Krejcikova	29.9	1872.4		28	1829.8	81	1687.4	16	1763.7		2054.4	2021-08		63	-0.81
29	Mccartney Kessler	26.2	1872.1		25	1836.1	109	1629.8	19	1748.4		1933.3	2025-03		31	-0.07
30	Liudmila Samsonova	26.9	1871.8		36	1801.6	26	1792.2	11	1780.5		1984.3	2023-10		17	0.57
31	Katerina Siniakova	29.4	1871.6		29	1829.1	57	1728.3	20	1747.3		1950.5	2017-01		47	-0.42
32	Emma Navarro	24.3	1870.3		33	1817.6	29	1777.7	15	1768.3		2002.7	2024-08		15	0.76
33	Eva Lys	23.7	1868.3		27	1830.1	44	1747.1	61	1655.7		1896.2	2025-10		39	-0.17
34	Anastasia Potapova	24.4	1856.7		37	1800.8	21	1804.0	52	1675.1		1920.5	2023-06		55	-0.48
35	Sorana Cirstea	35.5	1856.0		26	1834.3	51	1737.8	75	1633.2		1928.2	2009-08		41	-0.16
36	Diana Shnaider	21.5	1852.3		35	1802.0	22	1800.8	28	1720.0		1976.1	2024-08		21	0.54
37	Marie Bouzkova	27.2	1850.8		34	1808.7	33	1766.7	54	1673.4		1958.3	2022-10		46	-0.22
38	Danielle Collins	31.6	1844.4		47	1772.3	16	1808.7	47	1680.3		2061.1	2024-05		62	-0.49
39	Anastasia Pavlyuchenkova	34.1	1840.1		38	1799.2	46	1743.7	33	1711.4		2058.1	2011-05		44	-0.12
40	Veronika Kudermetova	28.4	1836.4		40	1785.9	36	1764.7	35	1709.5		1981.1	2023-05		30	0.29
41	Maya Joint	19.5	1835.6		43	1777.1	34	1766.5	34	1711.4		1889.3	2025-09		32	0.25
42	Dayana Yastremska	25.4	1831.8		49	1762.1	39	1758.0	36	1708.4		1978.4	2019-02		27	0.44
43	Taylor Townsend	29.4	1825.2		39	1794.6	63	1718.7	80	1622.0		1849.6	2025-08		116	-0.99
44	Olga Danilovic	24.7	1821.9		63	1733.5	25	1797.5	69	1641.3		1883.7	2025-05		67	-0.42
45	Ons Jabeur	30.8	1817.9		41	1781.0	45	1744.9	42	1692.0		2110.5	2022-06		95	-0.75
46	Daria Kasatkina	28.3	1815.8		46	1774.0	31	1774.2	31	1713.9		2036.5	2018-03		40	0.14
47	Ann Li	25.3	1814.5		48	1766.2	58	1724.2	108	1576.8		1894.4	2021-03		37	0.24
48	Maria Sakkari	30.2	1814.4		44	1776.2	30	1777.1	62	1655.6		2067.5	2022-03		51	-0.06
49	Jelena Ostapenko	28.3	1814.4		51	1754.4	23	1799.0	21	1746.6		2029.5	2017-10		23	0.76
50	Lois Boisson	22.3	1811.3		136	1609.9	19	1806.9	116	1557.6		1855.3	2025-07		36	0.33
51	Paula Badosa	27.8	1810.3		45	1775.3	60	1721.4	63	1655.1		2078.1	2022-01		25	0.71
52	Lulu Sun	24.5	1808.1		42	1779.4	126	1606.0	60	1656.1		1831.6	2024-08		86	-0.50
53	Sofia Kenin	26.9	1802.7		53	1750.2	43	1748.1	65	1645.7		2057.0	2020-02		28	0.64
54	Jessica Bouzas Maneiro	23.0	1802.3		59	1737.4	52	1737.5	53	1674.2		1857.3	2025-08		42	0.25
55	Iva Jovic	17.9	1800.3		61	1736.0	84	1682.8	32	1713.8		1867.9	2025-09		35	0.45
56	Jaqueline Cristian	27.3	1798.8		52	1754.1	47	1741.6	179	1482.3		1816.5	2025-05		38	0.39
57	Sonay Kartal	24.1	1791.2		57	1741.7	153	1560.9	44	1690.2		1828.1	2024-10		68	-0.18
58	Viktorija Golubic	33.0	1788.3		50	1755.1	113	1619.9	67	1644.6		1836.2	2021-07		80	-0.32
59	Laura Siegemund	37.5	1788.1		56	1742.5	85	1681.1	51	1675.5		1917.6	2016-08		45	0.27
60	Caty Mcnally	23.9	1787.2		68	1726.5	66	1711.1	41	1692.9		1805.5	2019-07		83	-0.32
61	Katie Boulter	29.2	1786.7		58	1741.6	73	1698.2	30	1719.2		1894.3	2024-03		112	-0.61
62	Varvara Gracheva	25.2	1783.8		62	1733.7	80	1688.3	77	1628.2		1819.8	2019-10		75	-0.19
63	Caroline Garcia	31.8	1781.5		54	1745.2	50	1739.0	38	1704.1		2044.8	2017-10		301	-1.56
64	Donna Vekic	29.3	1781.0		64	1732.2	56	1728.4	45	1689.0		1947.0	2019-08		69	-0.08
65	Yulia Putintseva	30.8	1780.9		60	1736.3	49	1739.5	64	1647.7		1933.4	2025-01		74	-0.13
66	Magda Linette	33.6	1779.8		67	1728.8	48	1740.1	84	1616.2		1866.6	2023-02		52	0.24
67	Sara Bejlek	19.7	1777.0		107	1655.6	37	1761.0	159	1499.0		1815.5	2025-07		93	-0.33
68	Irina Camelia Begu	34.8	1774.7		88	1688.9	41	1756.1	86	1612.4		1931.2	2016-05		139	-0.71
69	Beatriz Haddad Maia	29.2	1774.0		71	1715.9	53	1736.0	46	1680.4		1945.0	2022-08		58	0.17
70	Ella Seidel	20.6	1772.6		55	1742.9	103	1636.3	87	1608.3		1809.9	2025-10		84	-0.18
71	Xin Yu Wang	24.0	1770.2		81	1704.2	94	1655.8	27	1720.1		1853.9	2025-08		57	0.22
72	Magdalena Frech	27.8	1768.4		69	1725.8	74	1696.0	96	1589.0		1846.4	2024-10		59	0.20
73	Ajla Tomljanovic	32.4	1765.1		73	1713.1	76	1693.4	48	1680.0		1907.7	2022-08		78	-0.07
74	Anhelina Kalinina	28.8	1763.7		66	1729.3	64	1711.8	85	1615.2		1890.8	2022-06		174	-0.85
75	Antonia Ruzic	22.8	1763.3		65	1731.4	111	1627.2	94	1590.6		1789.8	2025-10		70	0.07
76	Peyton Stearns	23.9	1762.4		83	1695.6	38	1760.7	134	1533.2		1925.1	2025-05		64	0.17
77	Rebecca Sramkova	29.0	1757.9		77	1709.4	92	1658.0	89	1603.7		1821.7	2024-11		71	0.08
78	Elisabetta Cocciaretto	24.7	1755.5		89	1687.8	68	1709.1	56	1669.9		1853.5	2023-07		81	-0.04
79	Kaja Juvan	24.9	1752.5		96	1680.6	59	1722.6	43	1691.9		1825.6	2022-05		99	-0.23
80	Elena Gabriela Ruse	28.0	1751.4		84	1693.9	75	1694.8	57	1668.9		1845.7	2022-02		85	-0.06
81	Shuai Zhang	36.8	1750.8		70	1724.9	125	1607.5	66	1644.7		1873.3	2018-01		79	0.03
82	Anastasija Sevastova	35.6	1748.0		82	1699.0	67	1709.8	73	1634.3		1998.3	2018-10		185	-0.81
83	Bianca Andreescu	25.3	1746.0		74	1711.3	88	1675.7	79	1624.6		2157.5	2019-09		225	-1.00
84	Anna Blinkova	27.1	1745.0		79	1708.4	101	1640.8	82	1621.1		1830.2	2019-10		61	0.32
85	Petra Marcinko	19.9	1744.1		85	1692.8	65	1711.8	188	1472.6		1753.5	2025-08		82	0.04
86	Alexandra Eala	20.4	1743.7		87	1690.3	175	1537.7	55	1672.8		1804.2	2025-09		53	0.48
87	Camila Osorio	23.8	1743.3		86	1691.7	69	1706.5	91	1595.8		1852.0	2023-06		76	0.14
88	Oksana Selekhmeteva	22.8	1743.1		93	1683.8	71	1704.3	117	1557.0		1771.0	2025-11		100	-0.13
89	Cristina Bucsa	27.9	1742.7		76	1709.9	128	1601.4	88	1604.1		1755.1	2025-12		50	0.58
90	Renata Zarazua	28.0	1742.6		72	1715.8	100	1645.2	92	1591.2		1761.2	2025-01		77	0.16
91	Ashlyn Krueger	21.4	1740.7		75	1710.8	93	1656.5	93	1590.8		1896.7	2025-02		49	0.62
92	Elsa Jacquemot	22.6	1740.5		90	1685.9	97	1650.4	76	1629.0		1766.8	2025-09		56	0.50
93	Kamilla Rakhimova	24.2	1739.3		92	1684.2	98	1649.6	71	1638.2		1753.6	2025-08		91	0.02
94	Katie Volynets	23.8	1739.1		80	1708.1	83	1683.1	110	1575.1		1828.5	2024-06		96	-0.02
95	Greet Minnen	28.1	1739.0		91	1685.0	122	1609.2	50	1676.4		1795.8	2020-02		119	-0.23
96	Emerson Jones	17.3	1737.9		78	1708.9	213	1484.0	90	1599.6		1737.9	2025-11		147	-0.43
97	Oleksandra Oliynykova	24.9	1737.7		277	1427.4	62	1720.5	137	1528.2		1804.5	2025-11		90	0.07
98	Hailey Baptiste	23.9	1734.8		101	1671.5	79	1689.1	106	1577.1		1800.9	2025-06		65	0.41
99	Francesca Jones	25.1	1732.8		118	1638.8	54	1734.6	144	1516.6		1798.6	2025-09		72	0.32
100	Rebeka Masarova	26.1	1728.2		103	1660.4	77	1693.2	81	1621.5		1817.5	2023-04		115	-0.14
101	Aliaksandra Sasnovich	31.6	1727.9		98	1675.6	89	1662.4	72	1635.9		1944.3	2019-01		113	-0.11
102	Simona Waltert	24.8	1723.5		115	1644.4	70	1704.4	152	1507.5		1744.4	2025-10		88	0.15
103	Lilli Tagger	17.6	1722.8		137	1607.1	112	1625.0	129	1536.4		1757.5	2025-10		154	-0.40
104	Anna Bondar	28.4	1717.3		110	1647.9	61	1721.4	171	1489.3		1786.6	2022-05		73	0.35
105	Darja Semenistaja	23.0	1715.1		116	1639.8	87	1676.0	103	1578.3		1736.4	2025-10		98	0.07
106	Dalma Galfi	27.3	1709.5		131	1620.5	86	1680.6	74	1633.4		1748.0	2025-10		94	0.12
107	Kimberly Birrell	27.5	1705.4		97	1678.1	198	1503.7	98	1588.2		1804.5	2025-03		106	0.01
108	Yafan Wang	31.4	1703.6		100	1673.0	173	1538.6	124	1539.9		1853.2	2019-03		274	-0.93
109	Priscilla Hon	27.4	1700.6		99	1673.6	163	1550.3	121	1544.2		1722.2	2025-09		121	-0.10
110	Solana Sierra	21.3	1693.4		139	1603.7	91	1658.2	105	1577.4		1727.7	2025-10		66	0.51
111	Elina Avanesyan	23.1	1692.8		94	1683.4	104	1634.3	99	1587.3		1835.3	2024-08		124	-0.11
112	Julia Grabher	29.3	1692.2		204	1518.8	82	1685.3	221	1443.7		1692.2	2025-10		92	0.20
113	Xiyu Wang	24.5	1690.1		102	1661.7	108	1630.1	122	1542.1		1803.0	2024-02		170	-0.41
114	Robin Montgomery	20.8	1690.1		126	1625.1	124	1607.8	68	1642.6		1779.9	2024-07		279	-0.90
115	Marina Stakusic	20.9	1687.2		105	1656.7	165	1549.1	102	1583.2		1794.3	2024-02		127	-0.10
116	Aoi Ito	21.2	1687.0		95	1682.8	308	1374.2	195	1467.6		1786.2	2024-12		165	-0.35
117	Caroline Dolehide	27.2	1684.6		113	1645.7	106	1631.6	168	1491.3		1757.6	2025-07		109	0.07
118	Yue Yuan	27.0	1684.3		108	1651.4	131	1592.3	128	1536.5		1869.7	2024-04		135	-0.13
119	Viktoriya Tomova	30.6	1681.8		120	1635.4	114	1618.9	113	1565.2		1752.1	2024-06		128	-0.07
120	Zeynep Sonmez	23.5	1679.3		112	1646.3	137	1586.0	95	1589.6		1769.8	2024-12		110	0.09
121	Lin Zhu	31.7	1678.6		106	1655.7	232	1457.4	126	1537.6		1808.9	2023-09		162	-0.29
122	Mayar Sherif	29.5	1676.0		192	1525.8	90	1658.5	165	1493.2		1863.6	2023-06		107	0.13
123	Claire Liu	25.4	1675.5		104	1656.8	139	1583.3	136	1530.8		1814.6	2022-05		224	-0.60
124	Suzan Lamens	26.3	1673.4		124	1628.0	142	1578.7	130	1535.8		1795.2	2025-04		97	0.25
125	Alina Korneeva	18.4	1672.9		109	1649.9	237	1451.7	161	1496.5		1802.5	2024-10		210	-0.52
126	Petra Martic	34.5	1672.7		122	1632.5	105	1633.8	83	1617.9		1979.2	2019-09		209	-0.51
127	Storm Hunter	31.2	1670.4		111	1646.5	152	1561.1	109	1575.6		1792.2	2024-03		426	-1.21
128	Talia Gibson	21.4	1670.2		117	1639.3	228	1461.9	107	1577.0		1685.8	2025-11		118	0.08
129	Linda Klimovicova	21.4	1669.6		119	1636.2	215	1482.3	172	1487.6		1715.1	2025-10		133	-0.03
130	Laura Samson	17.7	1669.2		221	1498.5	96	1651.3	151	1509.6		1716.7	2025-11		201	-0.44
131	Moyuka Uchijima	24.2	1665.3		127	1623.1	110	1628.7	193	1469.1		1822.8	2025-04		89	0.39
132	Bernarda Pera	30.8	1664.1		129	1622.0	99	1645.8	120	1550.2		1843.1	2022-08		169	-0.25
133	Ana Bogdan	32.6	1662.3		114	1645.3	119	1613.4	101	1583.8		1826.3	2023-07		514	-1.35
134	Lola Radivojevic	20.7	1658.6		209	1512.3	95	1651.6	115	1558.6		1674.4	2025-10		137	-0.02
135	Maja Chwalinska	24.1	1657.7		145	1594.4	102	1640.3	146	1512.2		1717.6	2024-07		146	-0.08
136	Sara Sorribes Tormo	29.1	1656.8		121	1633.2	118	1614.6	133	1533.4		1900.8	2021-08		294	-0.77
137	Mia Pohankova	17.0	1656.3		123	1632.0	242	1443.2	167	1491.6		1685.9	2024-11		525	-1.34
138	Diane Parry	23.1	1655.9		154	1586.8	127	1604.7	78	1625.7		1763.9	2024-03		122	0.12
139	Tatjana Maria	38.3	1655.2		138	1605.4	162	1550.4	70	1639.4		1804.5	2009-08		43	1.17
140	Veronika Erjavec	25.9	1655.0		179	1544.9	107	1630.7	111	1571.8		1722.2	2025-09		103	0.31
141	Emiliana Arango	24.9	1653.4		125	1627.1	144	1576.9	198	1461.6		1698.2	2025-02		48	1.08
142	Polina Iatcenko	21.9	1651.9		132	1618.2	244	1441.0	157	1501.0		1750.9	2025-10		163	-0.14
143	Jil Teichmann	28.1	1650.6		135	1612.4	115	1615.9	229	1439.1		1922.9	2022-05		120	0.18
144	Daria Saville	31.4	1648.0		130	1621.4	136	1586.2	143	1517.6		1971.3	2017-01		193	-0.29
145	Anna Lena Friedsam	31.8	1643.3		142	1598.9	148	1568.1	176	1483.7		1842.9	2016-05		153	-0.05
146	Anca Alexia Todoni	20.9	1643.2		174	1550.5	78	1692.2	145	1514.3		1785.1	2025-01		158	-0.08
147	Sara Errani	38.0	1642.6		162	1577.9	120	1611.4	153	1507.3		2085.5	2013-05		631	-1.46
148	Panna Udvardy	27.1	1642.5		163	1573.3	130	1595.4	119	1551.1		1704.6	2023-01		87	0.53
149	Leolia Jeanjean	30.2	1640.2		150	1589.6	117	1615.1	164	1494.2		1684.9	2022-09		102	0.38
150	Anastasia Zakharova	23.8	1638.3		141	1600.5	189	1513.4	100	1584.1		1706.7	2024-10		104	0.37
151	Dominika Salkova	21.4	1637.5		128	1623.0	177	1533.9	194	1467.9		1685.2	2025-07		142	0.06
152	Linda Fruhvirtova	20.5	1636.1		146	1593.5	194	1507.6	114	1565.1		1764.1	2023-03		130	0.16
153	Lanlana Tararudee	21.3	1633.4		134	1614.3	183	1521.0	123	1541.3		1655.3	2025-11		131	0.16
154	Tamara Korpatsch	30.5	1631.9		160	1581.5	123	1608.8	227	1440.7		1717.5	2022-10		123	0.22
155	Kaitlin Quevedo	19.7	1631.5		153	1586.9	121	1611.4	169	1490.7		1699.5	2025-09		141	0.09
156	Nikola Bartunkova	19.6	1628.8		158	1583.1	140	1582.9	170	1489.4		1692.2	2025-09		126	0.21
157	Carson Branstine	25.0	1627.6		185	1535.7	145	1576.1	97	1588.3		1675.2	2025-09		177	-0.12
158	Rebecca Marino	34.7	1625.6		149	1590.9	206	1493.4	112	1570.6		1833.6	2010-11		197	-0.22
159	Alycia Parks	24.9	1623.1		140	1602.4	211	1485.0	138	1527.0		1824.7	2023-01		101	0.45
160	Alize Cornet	35.6	1622.8		155	1586.8	149	1567.3	104	1577.5		2012.5	2008-05			
161	Madison Brengle	35.5	1620.1		148	1591.1	146	1575.1	147	1511.5		1853.0	2016-03		453	-1.03
