Rank	Player	Wins	Losses	yElo
1	Jannik Sinner	58	6	2337.8
2	Carlos Alcaraz	71	9	2306.8
3	Novak Djokovic	39	11	2138.7
4	Felix Auger Aliassime	50	25	2064.9
5	Alexander Zverev	57	25	2038.4
6	Jack Draper	30	9	2032.4
7	Taylor Fritz	53	23	2014.2
8	Alexander Bublik	48	24	2008.7
9	Alex De Minaur	56	24	2004.4
10	Arthur Fils	22	11	1986.9
11	Learner Tien	43	26	1970.3
12	Daniil Medvedev	41	23	1962.6
13	Lorenzo Musetti	45	22	1953.2
14	Ben Shelton	40	24	1939.5
15	Joao Fonseca	39	17	1939.1
16	Alejandro Davidovich Fokina	44	26	1936.8
17	Casper Ruud	39	16	1934.4
18	Tommy Paul	29	13	1929.9
19	Hubert Hurkacz	15	11	1920.5
20	Valentin Vacherot	43	23	1917.6
21	Grigor Dimitrov	18	11	1913.8
22	Jiri Lehecka	41	23	1900.4
23	Matteo Berrettini	22	17	1893.0
24	Cameron Norrie	39	29	1892.1
25	Holger Rune	36	22	1877.4
26	Ugo Humbert	25	20	1870.0
27	Arthur Rinderknech	32	35	1869.1
28	Flavio Cobolli	36	29	1865.4
29	Sebastian Korda	24	18	1861.2
30	Karen Khachanov	32	24	1860.2
31	Jakub Mensik	36	22	1854.9
32	Jaume Munar	31	29	1853.3
33	Francisco Cerundolo	38	25	1853.2
34	Corentin Moutet	41	30	1847.4
35	Andrey Rublev	34	25	1835.2
36	Yannick Hanfmann	46	28	1820.2
37	Gabriel Diallo	37	29	1817.6
38	Leandro Riedi	13	6	1816.8
39	Arthur Cazaux	33	24	1815.4
40	Zizou Bergs	33	29	1814.2
41	Lorenzo Sonego	25	29	1811.2
42	Jenson Brooksby	27	23	1806.9
43	Tomas Martin Etcheverry	30	33	1800.9
44	Raphael Collignon	42	23	1800.1
45	Fabian Marozsan	28	26	1795.4
46	Marton Fucsovics	41	22	1795.2
47	Daniel Altmaier	34	35	1793.1
48	Yibing Wu	23	10	1792.0
49	Tallon Griekspoor	32	24	1787.8
