Rank	Player	Wins	Losses	yElo
1	Aryna Sabalenka	40	7	2212.9
2	Coco Gauff	31	8	2188.7
3	Elina Svitolina	29	9	2092.8
4	Mirra Andreeva	31	8	2088.5
5	Iga Swiatek	32	10	2087.6
6	Jasmine Paolini	25	9	2072.4
7	Madison Keys	30	8	2031.4
8	Qinwen Zheng	19	10	2018.7
9	Elise Mertens	26	11	2008.8
10	Ekaterina Alexandrova	23	12	1989.9
11	Elena Rybakina	27	11	1963.0
12	Jessica Pegula	31	11	1958.5
13	Belinda Bencic	21	9	1955.0
14	Sofia Kenin	21	13	1947.7
15	Amanda Anisimova	23	11	1942.9
16	Jelena Ostapenko	15	12	1914.2
17	Olga Danilovic	17	9	1913.7
18	Peyton Stearns	16	13	1910.7
19	Lois Boisson	14	5	1904.7
20	Victoria Mboko	25	6	1901.9
21	Emma Raducanu	15	12	1901.7
22	Paula Badosa	15	9	1898.5
23	Marta Kostyuk	17	12	1897.8
24	Clara Tauson	21	11	1896.6
25	Diana Shnaider	17	14	1879.7
26	Naomi Osaka	17	7	1872.8
27	Jaqueline Cristian	21	12	1872.1
28	Elena Gabriela Ruse	23	10	1871.5
29	Veronika Kudermetova	24	15	1865.8
30	Anastasia Potapova	18	10	1862.9
31	Ashlyn Krueger	19	14	1855.5
32	Tereza Valentova	27	7	1852.5
33	Sara Bejlek	20	10	1851.8
34	Dayana Yastremska	17	12	1851.4
35	Liudmila Samsonova	17	14	1850.5
36	Hailey Baptiste	21	13	1846.6
37	Danielle Collins	12	9	1835.3
38	Kaja Juvan	25	8	1833.2
39	Magda Linette	15	14	1820.7
40	Iva Jovic	15	7	1820.2
41	Katie Boulter	13	9	1818.9
42	Maya Joint	33	15	1817.4
43	Karolina Muchova	13	9	1810.9
44	Greet Minnen	23	12	1803.3
45	Marketa Vondrousova	6	5	1801.3
46	Emma Navarro	18	14	1797.3
47	Marie Bouzkova	15	12	1796.8
48	Jessica Bouzas Maneiro	15	14	1796.3
49	Rebeka Masarova	24	13	1791.7
50	Moyuka Uchijima	18	16	1789.9
51	Daria Kasatkina	14	14	1782.3
52	Anna Bondar	22	15	1781.8
53	Linda Noskova	13	14	1781.5
54	Mccartney Kessler	22	15	1778.2
55	Anca Alexia Todoni	18	10	1777.6
56	Tatjana Maria	17	17	1777.2
57	Mayar Sherif	18	12	1775.1
58	Maria Sakkari	14	17	1775.0
59	Anna Kalinskaya	9	11	1773.1
60	Ann Li	15	13	1770.4
61	Dalma Galfi	24	14	1754.7
62	Sonay Kartal	15	12	1753.3
63	Eva Lys	17	14	1752.9
64	Anna Blinkova	18	15	1751.3
65	Ons Jabeur	12	11	1748.8
66	Sorana Cirstea	8	9	1747.6
67	Suzan Lamens	18	15	1745.1
68	Caroline Dolehide	13	12	1742.8
69	Ajla Tomljanovic	15	13	1735.9
70	Francesca Jones	24	9	1733.3
71	Varvara Gracheva	10	13	1721.3
72	Shuai Zhang	12	8	1719.8
73	Rebecca Sramkova	11	16	1718.7
74	Viktorija Golubic	17	14	1713.4
75	Linda Fruhvirtova	18	13	1711.7
76	Kimberly Birrell	25	14	1708.4
77	Anastasia Pavlyuchenkova	6	8	1706.7
78	Yulia Putintseva	14	14	1701.8
79	Camila Osorio	14	10	1701.2
80	Robin Montgomery	10	8	1699.5
81	Bianca Andreescu	7	6	1698.9
82	Bernarda Pera	15	17	1697.5
83	Elisabetta Cocciaretto	12	16	1694.9
84	Joanna Garland	9	4	1694.7
85	Amarissa Kiara Toth	11	3	1694.7
86	Victoria Azarenka	6	9	1692.4
87	Heather Watson	13	12	1692.1
88	Elina Avanesyan	11	12	1690.5
89	Simona Waltert	26	12	1687.8
90	Teodora Kostovic	8	4	1684.3
91	Caty Mcnally	18	10	1683.3
92	Magdalena Frech	7	15	1681.3
93	Oksana Selekhmeteva	19	10	1681.2
94	Alexandra Eala	19	13	1676.8
95	Maaya Rajeshwaran Revathi	7	1	1675.7
96	Julia Grabher	23	13	1675.5
97	Emiliana Arango	18	12	1674.3
98	Elsa Jacquemot	28	19	1672.0
99	Iryna Shymanovich	24	12	1671.6
100	Daria Saville	13	15	1668.6
101	Lucia Bronzetti	11	15	1666.7
102	Katie Volynets	20	16	1665.0
103	Valentina Ryser	20	8	1664.3
104	Oleksandra Oliynykova	15	6	1663.8
105	Xin Yu Wang	10	14	1658.7
106	Donna Vekic	8	14	1656.9
107	Sofia Costoulas	17	5	1656.0
108	Antonia Ruzic	23	11	1656.0
109	Aliaksandra Sasnovich	20	15	1655.6
110	Alexis Blokhina	5	0	1655.4
111	Beatriz Haddad Maia	7	17	1654.8
112	Carol Young Suh Lee	5	0	1653.0
113	Anna Lena Friedsam	22	9	1652.4
114	Solana Sierra	21	11	1651.5
115	Darja Vidmanova	5	1	1650.4
116	Nuria Parrizas Diaz	13	13	1648.4
117	Yuliia Starodubtseva	12	18	1646.3
118	Victoria Jimenez Kasintseva	18	14	1644.3
119	Yue Yuan	11	15	1644.0
120	Tamara Korpatsch	19	13	1642.0
121	Katerina Siniakova	13	13	1638.0
122	Carole Monnet	14	9	1637.7
123	Maddison Inglis	20	13	1637.4
124	Leolia Jeanjean	24	16	1635.1
125	Leylah Fernandez	12	14	1633.2
126	Chloe Paquet	14	20	1631.8
127	Taylor Townsend	7	10	1629.8
128	Varvara Lepchenko	18	16	1629.5
129	Petra Marcinko	16	14	1628.1
130	Nao Hibino	18	16	1627.8
131	Tiantsoa Sarah Rakotomanga Rajaonah	21	12	1625.9
132	Maria Lourdes Carle	19	16	1624.8
133	Clara Burel	3	1	1624.6
134	Julieta Pareja	5	2	1623.5
135	Polina Kudermetova	14	14	1621.5
136	Anastasija Sevastova	5	5	1619.2
137	Lola Radivojevic	14	15	1617.9
138	Tatiana Prozorova	22	9	1617.5
139	Clervie Ngounoue	13	5	1614.6
140	Dominika Salkova	11	11	1613.7
141	Alina Charaeva	17	13	1611.2
142	Sara Daavettila	3	0	1610.4
143	Jil Teichmann	18	16	1610.3
144	Cristina Bucsa	15	17	1609.3
145	Priscilla Hon	24	12	1608.6
146	Julia Riera	13	9	1608.5
147	Lucrezia Stefanini	20	16	1607.7
148	Hanne Vandewinkel	22	12	1606.2
149	Ena Shibahara	18	16	1606.0
150	Caroline Garcia	3	7	1604.9
151	Ane Mintegi Del Olmo	5	2	1604.9
152	Anastasia Zakharova	17	15	1603.6
153	Sinja Kraus	27	14	1602.4
154	Anhelina Kalinina	9	13	1601.8
155	Mona Barthel	11	10	1601.4
156	Carson Branstine	16	12	1601.2
157	Celine Naef	17	11	1601.0
158	Diane Parry	8	12	1600.9
159	Darja Semenistaja	19	17	1600.6
